exposure,etf,proxy,verdict,usable_from,corr,mad_bps,ret_pp,te_ratio,te_pct,vol_pct,worst_bps,note
US total market,VTI,VFINX,PASS,1985-02-28,0.9950904613669236,34.044851855503765,0.27989841547224614,0.10177315808453227,1.5430686927624244,15.161843474295642,161.70522735341405,
US large cap,SPY,VFINX,PASS,1985-02-28,0.9983318492282937,15.636336992641045,0.04414593625594737,0.05788529525165073,0.8559566533169529,14.787117342941139,121.051825707675,
US small cap,IWM,NAESX,PASS,1985-02-28,0.9881285420101565,68.06858218292024,0.5621353448063721,0.15763798556511155,3.1046046102692886,19.694520956606286,356.635201080637,
US small value,VBR,VISVX,PASS,1998-06-30,0.9991076096278831,11.651443808037916,0.11009463277927775,0.042247231706537706,0.8054985616548697,19.066303971112497,188.61787336275506,
Intl developed,EFA,VTRIX,PASS,1985-02-28,0.9769530740751137,79.23215157271865,0.6474571006649839,0.21731146281676605,3.6816778915665385,16.94194058539322,480.264132466833,
Emerging markets,EEM,,ETF-ONLY,2003-05-31,,,,,,,,
World ex-US,VXUS,VGTSX,PASS,1996-05-31,0.998578346881456,16.83837894582099,0.03231899657308197,0.05332826460515874,0.8011737500256954,15.023435620070662,93.707483317713,
Long treasuries,TLT,VUSTX,PASS,1986-06-30,0.9915528276431367,38.71383356542624,0.1449157587098987,0.1779036694436816,2.257393889943063,12.688855137176802,478.457409659625,
Interm treasuries,IEF,VFITX,FAIL,2002-08-31,0.982265708838595,48.43037451585765,0.424507484116606,0.39451274072651143,2.22830038086636,5.648234266814434,216.50720761001696,
Short treasuries,SHY,VFISX,FAIL,2002-08-31,0.9628014129865582,11.003893655924701,0.1795491928974881,0.3255288820887472,0.5339070851981523,1.640122012438196,61.31695093199801,
TIPS,TIP,VIPSX,PASS,2000-07-31,0.9930713145935081,11.21221142154061,0.14137635354657363,0.11832027240428915,0.6674527474387517,5.641068380557213,130.063606529896,
US aggregate bonds,BND,VBMFX,PASS,1987-01-31,0.9855747102835992,12.210592156438754,0.10712093512376467,0.17545401638213845,0.779070327145685,4.440310590832367,180.97893290151796,
Corporate bonds,LQD,FBNDX,FAIL,2002-08-31,0.8691454436331113,83.00502498919917,1.1607241184727317,0.7438407422696447,4.573876713343598,6.148999985383367,1053.754592906541,
High yield,HYG,VWEHX,FAIL,2007-05-31,0.9058605653382614,70.57626409779465,0.4241356771506527,0.4857312166578113,4.459632806260335,9.181276914722291,828.4020848797419,
Municipal bonds,MUB,VWITX,FAIL,2007-10-31,0.9282031774800609,34.078799830487846,0.10307236247227292,0.4158481385766331,1.9805844843165759,4.762759047318883,388.636342284178,
Gold bullion,GLD,IAU,PASS,2005-02-28,0.9997974733816868,7.246493574553901,0.10470658663315618,0.020177565443423896,0.3468316501344427,17.18897411617511,45.12926881462598,
Precious-metals eq,GDX,,,,,,,,,,,ETF absent
Silver,SLV,,ETF-ONLY,2006-05-31,,,,,,,,
Commodities,DBC,PCRIX,FAIL,2006-03-31,0.9067752963671439,175.591459252536,0.24333931066444422,0.4318930595251881,8.135555316250045,18.83696701492277,831.952289835483,
US REIT,VNQ,VGSIX,PASS,1996-06-30,0.9993845810689724,12.328846448858313,0.0844656396175418,0.035148256979136254,0.7556580248023679,21.499160690981657,140.03942873212603,
