candidate,Dot-com,GFC,COVID,2022
Current allocation,-21.155831734019003,-38.06307504221991,-17.890838735160607,-17.461647274399905
80/20 VTI-GLD,-24.844254665384703,-35.38753400205727,-15.977668328012983,-17.325722407437606
60/20/20 US-intl-gold,-23.548644517524806,-36.90015963692,-16.363282667635794,-18.16286006323473
100% US Total,-32.42994341361243,-46.77695483459554,-20.822411095296346,-18.719892468882694
S&P 500,-33.36522439456662,-46.684657979607735,-19.447691893372344,-17.74431739340875
Classic 60/40,-11.417749315190207,-26.037250610343687,-12.307109568453567,-17.531810489256227
70/15/15 eq-gold-dur,-17.94111544730148,-28.009536758658392,-11.312631258311988,-20.095337453511043
60/20/20 eq-gold-dur,-12.76182412434147,-21.44581152642854,-8.057764102065402,-20.554355649962897
50/25/25 eq-gold-dur,-7.407466016064667,-14.736255241340757,-4.758994551965589,-21.01365572499807
60/20/20 eq-gold-agg,-14.176119463920767,-24.672362268942926,-11.692540030298193,-16.692476761151596
45/15/20/20 +intl,-11.66075088457007,-22.63044078481449,-8.303814059271431,-21.1931198398279
