candidate,w10,p5_10,med10,w5,spread10,worst_recovery_yrs
Current allocation,1.695520221872382,3.7624147458806156,9.123049826203378,-0.3965093711501555,12.574217132164268,3.4166666666666665
80/20 VTI-GLD,0.9422502247204312,2.951337133627998,9.80233416162224,-0.30227353691535397,14.51734962170561,4.25
60/20/20 US-intl-gold,1.5691825320768071,3.533158744078433,8.97529761703677,-0.12645759987999217,12.872807630214789,4.166666666666667
100% US Total,-2.801421700185669,-0.24153276762533976,8.741087495287525,-6.144618237175548,19.661372395220788,5.5
S&P 500,-3.4491910416270644,-1.0143722865268578,8.089337194867529,-6.669982464408097,19.993976230840605,6.166666666666667
Classic 60/40,1.2577578955632163,2.765804769725444,7.4570576966710655,-0.9671855113411953,9.994277320833088,3.4166666666666665
70/15/15 eq-gold-dur,2.0703784082006793,3.6453053508912743,9.434710964707449,0.9690068663900764,11.018388516291221,4.083333333333333
60/20/20 eq-gold-dur,3.516544400905519,4.9581131052369765,9.184119753819342,2.240948893740291,8.857464731636089,3.25
50/25/25 eq-gold-dur,4.8269412265228295,6.038062867081693,8.992308766615276,2.9876192832775983,6.902227105365011,3.0
60/20/20 eq-gold-agg,2.8435854451072773,4.459925464729211,8.692833183859072,1.8324808762487876,10.021676530572332,3.25
45/15/20/20 +intl,4.037673097415118,5.335388564772172,8.586445890702322,2.0562198126831355,7.6006721941941136,3.1666666666666665
