candidate,monthly,quarterly,annual,band 10%,band 20%
Current allocation,9.090960004521854,9.147728994502202,9.083523886168198,9.120230557355601,9.154662628461496
80/20 VTI-GLD,9.678877033532984,9.714509299399833,9.649423503544252,9.718753153454717,9.750114544224363
60/20/20 US-intl-gold,9.03942102251345,9.09102617990396,9.016897524060873,9.017010744888232,9.255954926635335
100% US Total,9.145432591323676,9.145432591323676,9.145432591323676,9.145432591323676,9.145432591323676
S&P 500,8.923646561675325,8.923646561675325,8.923646561675325,8.923646561675325,8.923646561675325
Classic 60/40,7.287458347774001,7.3129387668732,7.376526250852589,7.412006068151333,7.45317140494639
70/15/15 eq-gold-dur,9.035771833806772,9.072217417837681,9.048205246628926,9.10740120009994,9.202196812269325
60/20/20 eq-gold-dur,8.915647311740127,8.95542336646229,8.93068116950342,8.941695207653888,9.112140726255614
50/25/25 eq-gold-dur,8.754347519642325,8.794181317059625,8.772075988340134,8.781794267017728,8.829385535184509
60/20/20 eq-gold-agg,8.690486108870221,8.72881384697697,8.71024589791405,8.691339289477519,8.78526200557812
45/15/20/20 +intl,8.432635227304818,8.493441656842293,8.469184250863115,8.421428109448904,8.463985293350373
60/20/20 +10% SV,8.960605282810619,9.008829575539457,8.989919046747353,9.062085288741395,9.106116787508212
60/20/20 +20% SV,9.00205225149351,9.057813469881392,9.042381163590196,9.107881307380383,9.083714540591581
60/20/20 +30% SV,9.040007782948623,9.102393246284013,9.088179494796943,9.141923154448794,9.140084397565085
50/25/25 +10% SV,8.7933574306035,8.840530752641396,8.821460245222301,8.870310699505723,8.931519914368291
50/25/25 +20% SV,8.82993213878347,8.883817962354158,8.866175779087481,8.870830374602479,8.969235487187355
50/25/25 +30% SV,8.864079497436528,8.924065018170868,8.906289475206552,8.93616850126171,8.984792810841547
80/20 VTI-GLD +7% SV,9.726140756858225,9.771430618331657,9.718742273610093,9.789883473615868,9.81997002852495
